y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
2204-001,279.0,80.0,278.0,90.0,672.0,210.0,672.0,210.0,,
2216-001,,,0.0,0.0,,,,,,
2217-001,,,,,,,,,,
2218-001,790.0,246.0,690.0,172.0,,,,,,
2219-001,29.0,29.0,,,23.0,23.0,,,23.0,23.0
2220-001,956.0,277.0,970.0,279.0,,,,,,
2221-001,658.0,89.0,658.0,89.0,,,,,,
2222-001,234.0,43.0,920.0,178.0,498.0,96.0,498.0,96.0,,
2223-001,159.0,66.0,159.0,66.0,59.0,23.0,,,59.0,23.0
2235-001,,,201.0,89.0,49.0,20.0,49.0,20.0,,
2236-001,408.0,153.0,362.0,127.0,288.0,102.0,288.0,102.0,,
2237-001,,,335.0,135.0,91.0,39.0,91.0,39.0,,
2238-001,,,667.0,236.0,358.0,114.0,98.0,31.0,260.0,83.0
2239-001,186.0,27.0,384.0,56.0,,,,,,
2240-001,138.0,76.0,150.0,82.0,,,,,,
2241-001,778.0,164.0,778.0,164.0,,,,,,
2242-001,,,31.0,15.0,35.0,15.0,10.0,4.0,25.0,11.0
2254-001,100.0,25.0,129.0,34.0,,,,,,
2255-001,258.0,89.0,258.0,89.0,0.0,0.0,0.0,0.0,,
2256-001,265.0,72.0,554.0,168.0,90.0,24.0,45.0,12.0,45.0,12.0
2257-001,1187.0,367.0,1319.0,405.0,1303.0,435.0,550.0,185.0,753.0,250.0
2258-001,1016.0,284.0,1008.0,282.0,,,,,,
2259-001,869.0,192.0,840.0,180.0,47.0,13.0,47.0,13.0,,
2260-001,393.0,131.0,,,,,,,,
2261-001,675.0,132.0,671.0,131.0,,,,,,
2273-001,,,,,,,,,,
2274-001,,,,,,,,,,
2275-001,,,,,,,,,,
2276-001,,,,,,,,,,
2277-001,850.0,93.0,,,,,,,,
2278-001,,,,,,,,,,
2279-001,,,,,,,,,,
2280-001,84.0,84.0,,,,,,,,
2292-001,83.0,25.0,202.0,55.0,,,,,,
2293-001,,,188.0,50.0,,,,,,
2294-001,59.0,59.0,,,,,,,,
2295-001,,,52.0,27.0,,,,,,
2296-001,277.0,118.0,154.0,45.0,,,,,,
2297-001,,,1245.0,248.0,,,,,,
2298-001,235.0,79.0,84.0,28.0,,,,,,
2299-001,309.0,109.0,274.0,86.0,,,,,,
2311-001,13.0,13.0,9.0,9.0,17.0,17.0,,,17.0,17.0
2312-001,,,,,,,,,,
2313-001,,,,,,,,,,
2314-001,,,,,,,,,,
2316-001,198.0,86.0,112.0,35.0,,,,,,
2317-001,,,,,,,,,,
2318-001,,,,,,,,,,
2320-001,,,,,,,,,,
2330-001,,,,,,,,,,
2331-001,,,,,,,,,,
2332-001,,,320.0,62.0,44.0,10.0,22.0,5.0,22.0,5.0
2333-001,,,,,,,,,,
2334-001,,,108.0,32.0,,,,,,
2335-001,,,,,,,,,,
2336-001,,,,,,,,,,
2337-001,111.0,37.0,,,,,,,,
2349-001,72.0,18.0,73.0,19.0,,,,,,
2350-001,67.0,46.0,272.0,129.0,,,,,,
2352-001,437.0,164.0,533.0,158.0,,,,,,
2353-001,451.0,92.0,55.0,25.0,55.0,25.0,,,55.0,25.0
2354-001,,,,,,,,,,
2355-001,240.0,70.0,213.0,57.0,,,,,,
2356-001,259.0,75.0,,,,,,,,
2360-001,,,,,,,,,,
2368-001,,,,,,,,,,
2369-001,,,392.0,57.0,,,,,,
2371-001,291.0,89.0,226.0,57.0,,,,,,
2372-001,191.0,80.0,364.0,168.0,,,,,,
2373-001,,,390.0,70.0,,,,,,
2374-001,258.0,48.0,158.0,17.0,,,,,,
2375-001,184.0,28.0,,,,,,,,
2376-001,,,,,,,,,,
2387-001,,,360.0,120.0,,,,,,
2389-001,,,62.0,19.0,,,,,,
2390-001,,,,,,,,,,
2391-001,,,,,,,,,,
2392-001,,,,,,,,,,
2393-001,,,,,,,,,,
2394-001,200.0,40.0,330.0,60.0,,,,,,
2398-001,,,,,,,,,,
2406-001,,,,,,,,,,
2407-001,,,,,,,,,,
2408-001,,,440.0,190.0,,,,,,
2409-001,,,,,,,,,,
2410-001,,,,,,,,,,
2411-001,,,,,,,,,,
2412-001,,,,,,,,,,
2413-001,,,,,,,,,,
2425-001,,,,,,,,,,
2426-001,,,606.0,101.0,,,,,,
2427-001,,,,,,,,,,
2428-001,145.0,55.0,138.0,78.0,,,,,,
2430-001,105.0,35.0,,,,,,,,
2431-001,201.0,67.0,,,,,,,,
2432-001,637.0,117.0,600.0,108.0,,,,,,
2435-001,175.0,91.0,53.0,29.0,,,,,,
2444-001,,,,,,,,,,
2445-001,202.0,80.0,202.0,80.0,,,,,,
2446-001,162.0,45.0,52.0,23.0,201.0,54.0,104.0,22.0,97.0,32.0
2447-001,168.0,36.0,95.0,29.0,,,,,,
2448-001,,,372.0,72.0,,,,,,
2449-001,0.0,0.0,,,108.0,27.0,,,108.0,27.0
2450-001,152.0,19.0,464.0,58.0,120.0,15.0,120.0,15.0,,
2451-001,100.0,14.0,100.0,14.0,,,,,,
2463-001,,,,,,,,,,
2464-001,,,353.0,74.0,1059.0,222.0,353.0,74.0,706.0,148.0
2465-001,,,,,,,,,,
2466-001,,,,,,,,,,
2467-001,,,,,,,,,,
2468-001,591.0,70.0,421.0,50.0,,,,,,
2469-001,,,,,,,,,,
2471-001,78.0,10.0,,,,,,,,
2482-001,131.0,29.0,131.0,29.0,,,,,,
2483-001,224.0,32.0,196.0,28.0,42.0,6.0,42.0,6.0,,
2484-001,420.0,70.0,450.0,75.0,900.0,150.0,900.0,150.0,,
